id,variant,baseline_node_f1,robust_node_f1,baseline_graph_f1,robust_graph_f1,delta_node_f1,delta_graph_f1,note
order_stock_pay_01,paraphrasing,0.9091,0.9091,0.8148,0.8148,0.0,0.0,
order_stock_pay_01,light_noise,1.0,1.0,1.0,1.0,0.0,0.0,
order_stock_pay_01,requirements,0.6667,0.6667,0.4762,0.4762,0.0,0.0,
refund_audit_02,paraphrasing,0.9091,1.0,0.8148,1.0,0.0909,0.1852,
refund_audit_02,moderate_noise,0.5333,1.0,0.1111,1.0,0.4667,0.8889,
refund_audit_02,heavy_noise,0.75,0.8,0.3,0.4545,0.05,0.1545,
login_risk_03,paraphrasing,0.5714,0.6667,0.8947,0.8824,0.0952,-0.0124,
login_risk_03,light_noise,0.7143,0.7143,0.9744,1.0,0.0,0.0256,
login_risk_03,paraphrasing_short,0.7143,0.7143,0.9744,0.9744,0.0,0.0,
parallel_notify_04,paraphrasing,0.6667,0.8889,0.8462,0.7826,0.2222,-0.0635,
parallel_notify_04,light_noise,0.8889,0.6154,0.7826,0.5,-0.2735,-0.2826,
loop_retry_05,paraphrasing,0.0,0.0,0.3226,0.5143,0.0,0.1917,
loop_retry_05,requirements,0.0,0.0,0.0741,0.2069,0.0,0.1328,
approval_chain_06,paraphrasing,0.8571,0.8571,0.75,0.75,0.0,0.0,
approval_chain_06,paraphrasing_formal,1.0,0.75,1.0,0.3333,-0.25,-0.6667,
